"","V1","V2","type"
"1","Stark","Tully",1
"2","Stark","Arryn",1
"3","Stark","Lannister",2
"4","Stark","Baelish",2
"5","Stark","Reny",1
"6","Stark","Frey",1
"7","Tully","Lannister",2
"8","Arryn","Lannister",2
"9","Lannister","Baelish",1
"10","Lannister","Reny",2
"11","Lannister","Stannis",2
"12","Lannister","Frey",2
"13","Reny","Stannis",1
