"","V1","V2","type"
"1","Stark","Greyjoy",2
"2","Stark","Tully",1
"3","Stark","Arryn",1
"4","Stark","Lannister",2
"5","Stark","Baelish",2
"6","Stark","Reny",1
"7","Stark","Frey",1
"8","Tully","Lannister",2
"9","Arryn","Lannister",2
"10","Lannister","Tyrell",2
"11","Lannister","Baelish",1
"12","Lannister","Reny",2
"13","Lannister","Stannis",2
"14","Lannister","Frey",2
"15","Tyrell","Reny",1
"16","Reny","Stannis",1
