"","V1","V2","type"
"1","Stark","Greyjoy",2
"2","Stark","Tully",1
"3","Stark","Arryn",1
"4","Stark","Lannister",2
"5","Stark","Tyrell",1
"6","Stark","Baelish",1
"7","Stark","Stannis",2
"8","Stark","Frey",1
"9","Stark","Bolton",1
"10","Greyjoy","Stannis",2
"11","Greyjoy","Bolton",2
"12","Tully","Lannister",2
"13","Arryn","Lannister",1
"14","Arryn","Baelish",1
"15","Lannister","Tyrell",1
"16","Lannister","Martell",1
"17","Lannister","Baelish",1
"18","Lannister","Stannis",2
"19","Lannister","Frey",2
"20","Lannister","Bolton",1
"21","Tyrell","Stannis",2
"22","Frey","Bolton",1
